Lan,Kommun,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Mål,Mål_År,KOM_IDID
Kronoberg,Älmhult,32,33,32,37,39,33,31,25,23,14,9,30,2016,765
Kalmar,Borgholm,36,null,47,null,18,20,24,null,23,17,12,null,null,885
Kalmar,Emmaboda,null,48,46,46,41,36,32,27,19,null,11,50,2018,862
Kalmar,Hultsfred,48,23,26,25,22,14,8,10,3,3,2,null,null,860
Kalmar,Högsby,23,31,25,24,23,null,null,null,null,17,null,null,null,821
Kalmar,Kalmar,33,29,32,30,32,30,29,27,20,13,11,25,2016,880
Kalmar,Mönsterås,32,36,35,33,32,34,34,31,22,17,15,null,null,861
Kalmar,Mörbylånga,31,28,28,33,26,22,null,null,null,19,14,25,null,840
Kalmar,Nybro,33,28,27,25,null,12,null,4,4,null,null,null,null,881
Kalmar,Oskarshamn,30,28,23,22,12,11,9,9,8,null,null,25,2016,882
Kalmar,Torsås,25,null,22,null,null,null,null,null,18,null,null,null,null,834
Kalmar,Vimmerby,null,18,17,19,null,null,null,9,7,2,1,null,null,884
Kalmar,Västervik,20,30,23,17,14,11,11,11,9,5,1,null,null,883
Gotland,Region Gotland,28,30,26,26,24,21,21,20,17,13,10,25,2016,980
Blekinge,Karlshamn,31,null,25,26,23,null,13,12,13,8,8,28,2016,1082
Blekinge,Karlskrona,33,33,31,29,23,19,22,15,7,null,null,null,null,1080
Blekinge,Olofström,39,28,27,13,8,3,4,3,3,1,null,25,2016,1060
Blekinge,Ronneby,35,28,26,29,26,null,22,19,14,9,8,29,2016,1081
Blekinge,Sölvesborg,34,29,29,26,18,16,20,13,9,7,null,25,2016,1083
Skåne,Bjuv,null,null,10,13,9,15,14,14,11,11,10,null,null,1260
Skåne,Bromölla,25,29,29,26,18,13,16,11,9,null,5,25,2016,1272
Skåne,Burlöv,20,null,29,null,17,21,null,22,17,12,4,25,2020,1231
Skåne,Båstad,20,null,29,28,26,20,20,19,13,null,null,25,2016,1278
Skåne,Eslöv,57,52,40,35,33,35,28,26,17,11,11,60,2018,1285
Skåne,Helsingborg,45,43,41,40,33,18,22,14,11,9,9,40,2016,1283
Skåne,Hässleholm,38,33,31,33,29,18,17,14,10,7,7,null,null,1293
Skåne,Höganäs,24,19,15,10,7,null,5,null,1,1,1,25,2016,1284
Skåne,Hörby,null,33,30,30,32,30,19,13,2,null,4,null,null,1266
Skåne,Höör,40,null,null,null,30,29,16,15,null,null,null,40,2020,1267
Skåne,Klippan,4,null,null,4,0,0,null,0,0,null,0,null,null,1276
Skåne,Kristianstad,41,38,35,35,30,20,18,13,11,11,null,40,2017,1290
Skåne,Kävlinge,40,39,37,35,31,31,21,10,0,0,null,25,2016,1261
Skåne,Landskrona,38,36,32,31,27,24,23,null,null,null,null,50,2020,1282
Skåne,Lomma,26,26,23,20,17,14,15,16,9,0,2,25,null,1262
Skåne,Lund,82,74,68,55,50,49,46,43,35,34,25,100,2020,1281
Skåne,Malmö,65,63,59,53,44,37,39,33,27,23,24,100,2020,1280
Skåne,Osby,33,32,null,23,21,15,7,18,14,3,null,null,null,1273
Skåne,Perstorp,32,27,19,19,null,null,null,null,null,1,1,null,null,1275
Skåne,Simrishamn,null,null,16,null,null,null,null,null,null,null,null,null,null,1291
Skåne,Sjöbo,null,8,null,3,null,null,null,null,13,null,null,null,null,1265
Skåne,Skurup,42,39,39,39,null,22,22,null,null,null,null,40,2016,1264
Skåne,Staffanstorp,19,22,null,15,null,15,null,15,null,null,3,null,null,1230
Skåne,Svalöv,29,29,29,null,null,24,null,null,4,4,2,null,null,1214
Skåne,Svedala,40,40,36,28,27,25,27,28,26,23,22,50,2018,1263
Skåne,Tomelilla,8,9,8,7,12,5,7,1,2,null,null,10,2020,1270
Skåne,Trelleborg,21,31,38,34,28,25,20,16,11,11,3,35,null,1287
Skåne,Vellinge,78,80,80,72,57,48,null,32,26,7,5,null,null,1233
Skåne,Ystad,12,null,20,17,12,9,11,8,9,6,6,35,2020,1286
Skåne,Åstorp,12,19,15,null,null,null,8,null,null,null,null,null,null,1277
Skåne,Ängelholm,28,15,null,19,12,5,null,1,0,8,4,25,2017,1292
Skåne,Örkelljunga,null,12,13,11,10,5,null,null,null,null,null,10,2016,1257
Skåne,Östra Göinge,32,29,25,25,20,16,16,12,8,4,4,25,2016,1256
Halland,Falkenberg,32,32,28,21,20,17,14,12,8,4,,null,null,1382
Halland,Halmstad,35,37,32,31,31,25,18,8,7,6,4,25,null,1380
Halland,Hylte,38,21,19,19,14,9,8,6,11,4,3,25,2016,1315
Halland,Kungsbacka,null,36,27,26,25,17,16,12,10,12,10,30,2016,1384
Halland,Laholm,36,null,10,12,null,null,4,null,0,0,0,null,null,1381
Halland,Varberg,null,37,35,33,26,21,22,20,15,14,2,35,2016,1383
Västra Götaland,Ale,34,36,33,28,25,null,17,16,15,15,17,40,2017,1440
