Lan,Kommun,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Mål,Mål_År,KOM_IDID
Dalarna,Borlänge,61,49,34,40,50,49,46,31,19,16,15,100,2020,2081
Dalarna,Falun,19,null,22,19,24,24,14,13,11,10,8,null,null,2080
Dalarna,Gagnef,32,31,31,34,29,27,null,null,null,null,null,25,2016,2026
Dalarna,Hedemora,30,29,28,26,27,25,null,18,16,15,15,30,2016,2083
Dalarna,Leksand,21,19,18,22,18,7,null,1,0,0,0,25,2018,2029
Dalarna,Ludvika,41,39,34,35,34,28,27,26,25,22,21,60,2018,2085
Dalarna,Malung-Sälen,31,32,28,18,17,null,null,2,null,3,1,null,null,2023
Dalarna,Mora,29,31,34,null,null,null,27,18,12,null,6,null,null,2062
Dalarna,Orsa,28,26,28,34,null,21,14,11,9,9,11,25,null,2034
Dalarna,Rättvik,32,31,29,25,26,26,20,22,30,null,18,null,null,2031
Dalarna,Smedjebacken,29,29,34,29,null,null,null,25,23,17,16,null,null,2061
Dalarna,Säter,null,null,null,null,32,30,31,21,18,14,null,null,null,2082
Dalarna,Vansbro,22,19,20,null,20,8,null,null,null,null,null,null,null,2021
Dalarna,Älvdalen,20,17,17,null,8,null,null,null,0,0,null,null,null,2039
Gävleborg,Bollnäs,12,null,null,null,null,12,null,null,null,null,null,null,null,2183
Gävleborg,Gävle,41,41,41,38,30,27,26,26,20,15,11,50,2020,2180
Gävleborg,Hofors,null,null,null,16,12,7,7,6,,7,,15,2016,2104
Gävleborg,Hudiksvall,25,25,24,19,null,null,13,13,9,5,3,25,2016,2184
Gävleborg,Ljusdal,null,15,14,null,null,null,null,null,null,null,0,null,null,2161
Gävleborg,Nordanstig,null,null,11,null,19,15,13,12,null,3,2,null,null,2132
Gävleborg,Ockelbo,46,47,40,43,36,33,36,35,31,11,null,35,null,2101
Gävleborg,Ovanåker,null,22,15,null,null,9,12,12,9,8,1,25,2017,2121
Gävleborg,Sandviken,32,28,24,27,27,21,22,26,16,18,9,30,2016,2181
Gävleborg,Söderhamn,24,21,19,14,13,13,21,null,10,6,2,15,null,2182
Västernorrland,Härnösand,30,30,29,29,null,24,4,2,null,6,0,30,2016,2280
Västernorrland,Kramfors,30,30,27,27,null,null,18,12,null,null,4,50,2018,2282
Västernorrland,Sollefteå,25,25,25,19,20,14,10,6,4,3,,25,2016,2283
Västernorrland,Sundsvall,32,30,30,26,18,13,13,13,11,8,0,50,2018,2281
Västernorrland,Timrå,25,25,null,21,17,0,null,null,null,null,null,25,2020,2262
Västernorrland,Ånge,18,18,null,19,10,10,6,5,4,,2,20,null,2260
Västernorrland,Örnsköldsvik,31,30,30,27,21,null,10,5,null,2,1,50,2018,2284
